id,lego_count,bb_list
1_1,1,"[(352, 367, 483, 583)]"
1_10,1,"[(1042, 939, 1651, 1360)]"
1_100,1,"[(1448, 1015, 2179, 2045)]"
1_1000,1,"[(368, 769, 453, 857)]"
1_1001,1,"[(186, 46, 234, 102)]"
1_1002,1,"[(660, 1545, 1785, 1827)]"
1_1003,1,"[(175, 389, 234, 449)]"
1_1004,1,"[(1641, 1021, 2727, 1552)]"
1_1005,1,"[(845, 1602, 1536, 2024)]"
1_1006,1,"[(268, 263, 1068, 869)]"
1_1007,1,"[(194, 71, 220, 91)]"
1_1008,1,"[(352, 410, 480, 538)]"
1_1009,1,"[(378, 122, 466, 206)]"
1_101,1,"[(1582, 1435, 2522, 2489)]"
1_1010,1,"[(175, 155, 240, 206)]"
1_1011,1,"[(185, 70, 233, 133)]"
1_1012,1,"[(176, 76, 242, 124)]"
1_1013,1,"[(1285, 1315, 2138, 2003)]"
1_1014,1,"[(173, 128, 243, 177)]"
1_1015,1,"[(1383, 1669, 1917, 2013)]"
1_1016,1,"[(172, 121, 246, 183)]"
1_1017,1,"[(280, 681, 540, 945)]"
1_1018,1,"[(180, 169, 236, 249)]"
1_1019,1,"[(184, 66, 228, 96)]"
1_102,1,"[(1990, 1412, 2672, 2006)]"
1_1020,1,"[(1312, 995, 2703, 2223)]"
1_1021,1,"[(155, 249, 257, 340)]"
1_1022,1,"[(184, 57, 235, 97)]"
1_1023,1,"[(1226, 1742, 1741, 2333)]"
1_1024,1,"[(382, 786, 439, 840)]"
1_1025,1,"[(540, 595, 2310, 2478)]"
1_1026,1,"[(172, 80, 250, 130)]"
1_1027,1,"[(321, 424, 510, 523)]"
1_1028,1,"[(972, 1656, 2143, 2251)]"
1_1029,1,"[(168, 65, 241, 116)]"
1_103,1,"[(2174, 1141, 2541, 1474)]"
1_1030,1,"[(1548, 1731, 2384, 2569)]"
1_1031,1,"[(194, 140, 225, 165)]"
1_1032,1,"[(1161, 1767, 1869, 2665)]"
1_1033,1,"[(188, 165, 236, 237)]"
1_1034,1,"[(326, 743, 494, 889)]"
1_1035,1,"[(187, 131, 229, 169)]"
1_1036,1,"[(2104, 1333, 2710, 1936)]"
1_1037,1,"[(341, 422, 488, 530)]"
1_1038,1,"[(189, 164, 231, 197)]"
1_1039,1,"[(179, 145, 238, 226)]"
1_104,1,"[(134, 391, 261, 505)]"
1_1040,1,"[(341, 0, 508, 301)]"
1_1041,1,"[(181, 109, 240, 138)]"
1_1042,1,"[(818, 1393, 2156, 2678)]"
1_1043,1,"[(172, 223, 244, 265)]"
1_1044,1,"[(177, 153, 233, 189)]"
1_1045,1,"[(159, 249, 256, 331)]"
1_1046,1,"[(1692, 1813, 1952, 2111)]"
1_1047,1,"[(304, 241, 583, 501)]"
1_1048,1,"[(298, 141, 1033, 772)]"
1_1049,1,"[(329, 753, 489, 867)]"
1_105,1,"[(185, 42, 234, 79)]"
1_1050,1,"[(1085, 1969, 1827, 2490)]"
1_1051,1,"[(552, 1516, 995, 1971)]"
1_1052,1,"[(361, 749, 464, 881)]"
1_1053,1,"[(370, 428, 453, 523)]"
1_1054,1,"[(935, 607, 3185, 2762)]"
1_1055,1,"[(1549, 1763, 2071, 2099)]"
1_1056,1,"[(2146, 1206, 2375, 1578)]"
1_1057,1,"[(170, 102, 251, 156)]"
1_1058,1,"[(386, 786, 431, 838)]"
1_1059,1,"[(156, 216, 256, 311)]"
1_106,1,"[(182, 221, 238, 270)]"
1_1060,1,"[(273, 368, 595, 590)]"
1_1061,1,"[(155, 340, 257, 432)]"
1_1062,1,"[(180, 110, 239, 140)]"
1_1063,1,"[(1457, 1241, 2184, 1884)]"
1_1064,1,"[(1144, 1464, 1493, 1841)]"
1_1065,1,"[(168, 198, 246, 244)]"
1_1066,1,"[(321, 380, 509, 569)]"
1_1067,1,"[(318, 0, 528, 237)]"
1_1068,1,"[(186, 130, 230, 169)]"
1_1069,1,"[(159, 212, 257, 292)]"
1_107,1,"[(199, 35, 217, 56)]"
1_1070,1,"[(826, 583, 2619, 2439)]"
1_1071,1,"[(1694, 2869, 2704, 3707)]"
1_1072,1,"[(212, 430, 432, 580)]"
1_1073,1,"[(1298, 1118, 2032, 1765)]"
1_1074,1,"[(355, 536, 467, 1104)]"
1_1075,1,"[(1119, 1784, 1760, 2611)]"
1_1076,1,"[(300, 663, 518, 967)]"
1_1077,1,"[(193, 110, 220, 128)]"
1_1078,1,"[(374, 773, 449, 872)]"
1_1079,1,"[(1073, 1372, 1461, 1709)]"
1_108,1,"[(188, 316, 223, 354)]"
1_1080,1,"[(189, 136, 229, 168)]"
1_1081,1,"[(1877, 2060, 2584, 2597)]"
1_1082,1,"[(178, 156, 233, 205)]"
1_1083,1,"[(165, 204, 871, 914)]"
1_1084,1,"[(106, 535, 713, 1104)]"
1_1085,1,"[(899, 1267, 1306, 1704)]"
1_1086,1,"[(183, 46, 227, 87)]"
1_1087,1,"[(1304, 1829, 2104, 3390)]"
1_1088,1,"[(965, 1543, 1565, 2143)]"
1_1089,1,"[(1456, 1481, 1826, 1838)]"
1_109,1,"[(172, 184, 242, 241)]"
1_1090,1,"[(147, 369, 258, 495)]"
1_1091,1,"[(199, 79, 224, 105)]"
1_1092,1,"[(1155, 1666, 1540, 2064)]"
1_1093,1,"[(186, 88, 233, 117)]"
1_1094,1,"[(169, 266, 244, 309)]"
1_1095,1,"[(185, 47, 228, 77)]"
1_1096,1,"[(453, 151, 946, 1097)]"
1_1097,1,"[(945, 1448, 1334, 2129)]"
1_1098,1,"[(374, 284, 1024, 1034)]"
1_1099,1,"[(364, 425, 468, 529)]"
1_11,1,"[(311, 714, 516, 900)]"
1_110,1,"[(900, 1422, 1713, 1691)]"
1_1100,1,"[(2163, 933, 2865, 2000)]"
1_1101,1,"[(189, 365, 225, 400)]"
1_1102,1,"[(167, 339, 230, 460)]"
1_1103,1,"[(1301, 1180, 1867, 1915)]"
1_1104,1,"[(1746, 1168, 2223, 1622)]"
1_1105,1,"[(2733, 1661, 3187, 2049)]"
1_1106,1,"[(1376, 2141, 2843, 2756)]"
1_1107,1,"[(369, 373, 467, 568)]"
1_1108,1,"[(150, 213, 257, 305)]"
1_1109,1,"[(163, 392, 231, 532)]"
1_111,1,"[(563, 1436, 1146, 1776)]"
1_1110,1,"[(173, 147, 246, 218)]"
1_1111,1,"[(669, 1677, 1048, 2271)]"
1_1112,1,"[(1402, 760, 2016, 1373)]"
1_1113,1,"[(1000, 2831, 1515, 3346)]"
1_1114,1,"[(1163, 1176, 1581, 1678)]"
1_1115,1,"[(363, 398, 455, 549)]"
1_1116,1,"[(171, 177, 265, 246)]"
1_1117,1,"[(1536, 2854, 2069, 3318)]"
1_1118,1,"[(174, 47, 238, 80)]"
1_1119,1,"[(381, 784, 438, 840)]"
1_112,1,"[(1363, 1518, 2258, 2261)]"
1_1120,1,"[(1499, 2359, 2047, 3058)]"
1_1121,1,"[(2009, 1412, 2798, 2202)]"
1_1122,1,"[(1551, 2674, 2055, 3163)]"
1_1123,1,"[(363, 755, 463, 867)]"
1_1124,1,"[(857, 1324, 1497, 1978)]"
1_1125,1,"[(182, 366, 230, 406)]"
1_1126,1,"[(285, 72, 560, 242)]"
1_1127,1,"[(167, 319, 236, 405)]"
1_1128,1,"[(977, 470, 1556, 1086)]"
1_1129,1,"[(2565, 1361, 3105, 1891)]"
1_113,1,"[(177, 156, 244, 206)]"
1_1130,1,"[(260, 252, 738, 661)]"
1_1131,1,"[(163, 174, 258, 262)]"
1_1132,1,"[(3554, 3703, 4615, 4799)]"
1_1133,1,"[(172, 392, 239, 459)]"
1_1134,1,"[(413, 293, 849, 840)]"
1_1135,1,"[(356, 735, 484, 885)]"
1_1136,1,"[(190, 310, 223, 353)]"
1_1137,1,"[(147, 333, 264, 442)]"
1_1138,1,"[(1090, 1328, 1602, 1566)]"
1_1139,1,"[(539, 1560, 980, 1882)]"
1_114,1,"[(144, 61, 323, 229)]"
1_1140,1,"[(199, 109, 223, 134)]"
1_1141,1,"[(1310, 1635, 1936, 2487)]"
1_1142,1,"[(166, 87, 255, 150)]"
1_1143,1,"[(185, 511, 626, 1131)]"
1_1144,1,"[(973, 1333, 1509, 1786)]"
1_1145,1,"[(97, 87, 202, 188)]"
1_1146,1,"[(1412, 1145, 1807, 2562)]"
1_1147,1,"[(1542, 1802, 2347, 2385)]"
1_1148,1,"[(183, 76, 245, 111)]"
1_1149,1,"[(213, 241, 618, 629)]"
1_115,1,"[(371, 114, 471, 203)]"
1_1150,1,"[(186, 316, 227, 353)]"
1_1151,1,"[(667, 1408, 2053, 2943)]"
1_1152,1,"[(147, 325, 254, 442)]"
1_1153,1,"[(1102, 1059, 1395, 1380)]"
1_1154,1,"[(174, 47, 245, 99)]"
1_1155,1,"[(163, 133, 257, 172)]"
1_1156,1,"[(308, 714, 507, 911)]"
1_1157,1,"[(177, 157, 243, 208)]"
1_1158,1,"[(1226, 1554, 1546, 2425)]"
1_1159,1,"[(972, 1209, 1646, 1796)]"
1_116,1,"[(170, 388, 246, 475)]"
1_1160,1,"[(159, 184, 253, 227)]"
1_1161,1,"[(166, 373, 256, 519)]"
1_1162,1,"[(384, 99, 462, 219)]"
1_1163,1,"[(360, 399, 480, 539)]"
1_1164,1,"[(172, 180, 242, 253)]"
1_1165,1,"[(172, 122, 246, 185)]"
1_1166,1,"[(1176, 1524, 1527, 1743)]"
1_1167,1,"[(186, 94, 238, 155)]"
1_1168,1,"[(163, 119, 256, 183)]"
1_1169,1,"[(181, 82, 238, 124)]"
1_117,1,"[(1851, 2094, 2416, 2608)]"
1_1170,1,"[(161, 279, 254, 389)]"
1_1171,1,"[(950, 1039, 1608, 2015)]"
1_1172,1,"[(179, 310, 234, 360)]"
1_1173,1,"[(2174, 1775, 2941, 2513)]"
1_1174,1,"[(168, 88, 258, 123)]"
1_1175,1,"[(937, 1658, 2038, 2629)]"
1_1176,1,"[(181, 105, 242, 147)]"
1_1177,1,"[(1312, 2016, 1938, 2947)]"
1_1178,1,"[(141, 97, 389, 358)]"
1_1179,1,"[(1324, 999, 2524, 2150)]"
1_118,1,"[(135, 324, 288, 387)]"
1_1180,1,"[(1753, 713, 2745, 1434)]"
1_1181,1,"[(242, 0, 606, 339)]"
1_1182,1,"[(159, 180, 256, 254)]"
1_1183,1,"[(158, 259, 263, 359)]"
1_1184,1,"[(1182, 1658, 1564, 2181)]"
1_1185,1,"[(366, 406, 467, 545)]"
1_1186,1,"[(159, 213, 254, 295)]"
1_1187,1,"[(357, 732, 447, 896)]"
1_1188,1,"[(179, 264, 229, 306)]"
1_1189,1,"[(196, 102, 382, 306)]"
1_119,1,"[(168, 301, 246, 363)]"
1_1190,1,"[(180, 129, 233, 169)]"
1_1191,1,"[(180, 79, 228, 128)]"
1_1192,1,"[(2191, 1382, 2999, 2170)]"
1_1193,1,"[(183, 361, 230, 411)]"
1_1194,1,"[(992, 1235, 1419, 1577)]"
1_1195,1,"[(181, 82, 234, 119)]"
1_1196,1,"[(1211, 2525, 2140, 3171)]"
1_1197,1,"[(1076, 1298, 1484, 1660)]"
1_1198,1,"[(1188, 1625, 2229, 2484)]"
1_1199,1,"[(988, 1641, 1514, 2033)]"
1_12,1,"[(1126, 926, 2188, 1789)]"
1_120,1,"[(730, 1603, 1704, 1926)]"
1_1200,1,"[(184, 262, 221, 304)]"
1_1201,1,"[(176, 176, 247, 249)]"
1_1202,1,"[(192, 271, 226, 299)]"
1_1203,1,"[(180, 153, 232, 223)]"
1_1204,1,"[(333, 709, 481, 917)]"
1_1205,1,"[(334, 77, 509, 244)]"
1_1206,1,"[(299, 738, 520, 889)]"
1_1207,1,"[(171, 102, 249, 154)]"
1_1208,1,"[(186, 158, 236, 199)]"
1_1209,1,"[(1525, 1932, 2196, 2601)]"
1_121,1,"[(357, 774, 464, 848)]"
1_1210,1,"[(179, 683, 644, 947)]"
1_1211,1,"[(192, 67, 225, 91)]"
